names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
MALAT1,34.280037,1.0872562,1.5568303440719826e-257,2.952528747532515e-253,0.9962368289011541,High_CNV,High_CNV_vs_Low_CNV,True
RPL3,30.611307,0.6587773,8.655667403154533e-206,7.461578740946623e-203,0.9882087305569494,High_CNV,High_CNV_vs_Low_CNV,True
RPL23A,30.514477,0.66452086,1.674760887049199e-204,1.3234100092870023e-201,0.9882087305569494,High_CNV,High_CNV_vs_Low_CNV,True
RPS27,29.987837,0.69066757,1.4139889369991137e-197,9.247000065582135e-195,0.994982438534872,High_CNV,High_CNV_vs_Low_CNV,True
RPS3,29.936724,0.67725384,6.550646101456384e-197,4.007516235939365e-194,0.9877069744104365,High_CNV,High_CNV_vs_Low_CNV,True
RPS27A,28.730892,0.6249828,1.5696757965421406e-181,7.087833686052785e-179,0.9904666332162569,High_CNV,High_CNV_vs_Low_CNV,True
RPL31,28.544394,0.6223584,3.297172828300286e-179,1.421156424743521e-176,0.9862017059708982,High_CNV,High_CNV_vs_Low_CNV,True
RPS6,28.036034,0.61615986,5.912498469798713e-173,2.288378234280257e-170,0.9879578524836929,High_CNV,High_CNV_vs_Low_CNV,True
RPS15A,27.973541,0.59179795,3.4103682987314486e-172,1.2681889173616063e-169,0.9892122428499749,High_CNV,High_CNV_vs_Low_CNV,True
BTG1,27.478947,1.3041508,3.134050543159482e-166,1.0074113313732132e-163,0.9385348720521827,High_CNV,High_CNV_vs_Low_CNV,True
RPL5,27.282333,0.61568534,6.874016314768028e-164,2.1371429411405846e-161,0.9726542900150527,High_CNV,High_CNV_vs_Low_CNV,True
RPL13A,27.1062,0.52866244,8.321682494711998e-162,2.428010900187893e-159,0.9947315604616157,High_CNV,High_CNV_vs_Low_CNV,True
RPL13,27.104946,0.5530716,8.609561575695648e-162,2.473944473985878e-159,0.9934771700953337,High_CNV,High_CNV_vs_Low_CNV,True
RPS26,26.770012,0.59648955,7.222469294892171e-158,1.9024184746893056e-155,0.9834420471650778,High_CNV,High_CNV_vs_Low_CNV,True
RPLP2,26.22755,0.5087762,1.2892657498066075e-151,3.056365618135289e-149,0.994982438534872,High_CNV,High_CNV_vs_Low_CNV,True
RPL30,26.075993,0.51703686,6.826445209736755e-150,1.5412325405078281e-147,0.9887104867034621,High_CNV,High_CNV_vs_Low_CNV,True
RPS7,25.78586,0.5364083,1.2776389756063512e-146,2.722519457570163e-144,0.9764174611138986,High_CNV,High_CNV_vs_Low_CNV,True
RPL35A,25.653137,0.53052425,3.9007360083892346e-145,8.129391032868334e-143,0.9839438033115906,High_CNV,High_CNV_vs_Low_CNV,True
RPS3A,25.624388,0.5115539,8.161112651688697e-145,1.6642527036481305e-142,0.9867034621174109,High_CNV,High_CNV_vs_Low_CNV,True
