gene,chromosome,mean_expr,std_expr,corr_cis,pval_cis,corr_trans,pval_trans,cis_minus_trans,cnv_source,corr_with_cnv,pval,pval_adj,dosage_sensitive,dosage_compensated,strong_cis_effect
CLDN3,chr7,0.311551,0.7536825,0.6943381333369647,0.0,0.850900546825845,0.0,-0.15656241348888034,chromosome-specific,0.6943381333369647,0.0,0.0,True,False,False
HLA-DRB1,chr6,1.9949093,1.5312915,0.6502962952759255,0.0,-0.3309482096449414,1.0941588321067118e-206,0.9812445049208669,chromosome-specific,0.6502962952759255,0.0,0.0,True,False,True
HLA-DPB1,chr6,1.6536368,1.3723531,0.6474092024438716,0.0,-0.37595160691914986,7.680511250734212e-271,1.0233608093630213,chromosome-specific,0.6474092024438716,0.0,0.0,True,False,True
ZDHHC9,chrX,0.11696762,0.34452024,0.6294888924404218,0.0,0.6294888924404218,0.0,0.0,global,0.6294888924404218,0.0,0.0,True,False,False
HLA-DRA,chr6,2.218939,1.6728766,0.6268500196746232,0.0,-0.2993150129814429,1.248068589550226e-167,0.9261650326560661,chromosome-specific,0.6268500196746232,0.0,0.0,True,False,True
HLA-DPA1,chr6,1.421014,1.339681,0.6262795164173922,0.0,-0.34329971812266147,2.9344627131998007e-223,0.9695792345400537,chromosome-specific,0.6262795164173922,0.0,0.0,True,False,True
WFDC2,chr20,0.5275584,1.060396,0.6216309828030848,0.0,0.7245449841546289,0.0,-0.10291400135154405,chromosome-specific,0.6216309828030848,0.0,0.0,True,False,False
CLDN4,chr7,0.39698416,0.82515067,0.6191121164231537,0.0,0.7669123039083945,0.0,-0.14780018748524082,chromosome-specific,0.6191121164231537,0.0,0.0,True,False,False
S100A16,chr1,0.30439323,0.70557946,0.5942367264727813,0.0,0.8146803243342201,0.0,-0.22044359786143886,chromosome-specific,0.5942367264727813,0.0,0.0,True,False,False
ELF3,chr1,0.45166314,0.936558,0.591975355593015,0.0,0.8147931400022197,0.0,-0.22281778440920474,chromosome-specific,0.591975355593015,0.0,0.0,True,False,False
VSTM2L,chr20,0.12855875,0.41142902,0.5908494254737306,0.0,0.7168573391816271,0.0,-0.12600791370789644,chromosome-specific,0.5908494254737306,0.0,0.0,True,False,False
CCND1,chr11,0.36454704,0.8337464,0.5733975617470597,0.0,0.7943861036773974,0.0,-0.22098854193033768,chromosome-specific,0.5733975617470597,0.0,0.0,True,False,False
MET,chr7,0.14494,0.42636344,0.5646147276433209,0.0,0.7000418713456044,0.0,-0.13542714370228348,chromosome-specific,0.5646147276433209,0.0,0.0,True,False,False
MDK,chr11,0.3761309,0.8110525,0.5642686910271336,0.0,0.784486619072703,0.0,-0.2202179280455694,chromosome-specific,0.5642686910271336,0.0,0.0,True,False,False
TSPAN6,chrX,0.06794727,0.26008898,0.56305946682637,0.0,0.56305946682637,0.0,0.0,global,0.56305946682637,0.0,0.0,True,False,False
RAB25,chr1,0.22775173,0.55871433,0.562234844312178,0.0,0.7664047278980748,0.0,-0.20416988358589683,chromosome-specific,0.562234844312178,0.0,0.0,True,False,False
S100A6,chr1,3.3342378,1.1853627,0.5612568854796174,0.0,0.5085055428239271,0.0,0.05275134265569026,chromosome-specific,0.5612568854796174,0.0,0.0,True,False,True
HLA-DQB1,chr6,1.2016293,1.2626649,0.5585584014092339,0.0,-0.2012816872210087,5.9215468999258e-75,0.7598400886302425,chromosome-specific,0.5585584014092339,0.0,0.0,True,False,True
AGR2,chr7,0.49068847,0.9742782,0.5580909510391379,0.0,0.6984562746473527,0.0,-0.14036532360821485,chromosome-specific,0.5580909510391379,0.0,0.0,True,False,False
ATP1B1,chr1,0.55396724,0.9136737,0.5530740126907354,0.0,0.6659345956302384,0.0,-0.11286058293950296,chromosome-specific,0.5530740126907354,0.0,0.0,True,False,False
ENAH,chr1,0.16015059,0.44677955,0.5522934665381072,0.0,0.7644101879556822,0.0,-0.21211672141757498,chromosome-specific,0.5522934665381072,0.0,0.0,True,False,False
HLA-DQA1,chr6,0.7414135,1.1246631,0.5511013024660834,0.0,-0.23777863095553786,1.0615129730693196e-104,0.7888799334216212,chromosome-specific,0.5511013024660834,0.0,0.0,True,False,True
HLA-B,chr6,3.212299,0.9274008,0.5493767195857704,0.0,-0.5164120474545725,0.0,1.0657887670403428,chromosome-specific,0.5493767195857704,0.0,0.0,True,False,True
TACSTD2,chr1,0.35779008,0.7943555,0.5462563431351999,0.0,0.7306160042477796,0.0,-0.18435966111257973,chromosome-specific,0.5462563431351999,0.0,0.0,True,False,False
RHOD,chr11,0.13893688,0.3982856,0.5452876404143212,0.0,0.6981323388640419,0.0,-0.1528446984497207,chromosome-specific,0.5452876404143212,0.0,0.0,True,False,False
LAD1,chr1,0.13151535,0.39041474,0.5447699321207954,0.0,0.6829711259255602,0.0,-0.1382011938047648,chromosome-specific,0.5447699321207954,0.0,0.0,True,False,False
PPP1R14B,chr11,0.29682586,0.63793385,0.5400429604989234,0.0,0.6757139943187795,0.0,-0.13567103381985612,chromosome-specific,0.5400429604989234,0.0,0.0,True,False,False
ABCC3,chr17,0.16942729,0.45824668,0.5340814619792694,0.0,0.7066300432466561,0.0,-0.1725485812673867,chromosome-specific,0.5340814619792694,0.0,0.0,True,False,False
PON2,chr7,0.27712944,0.6037464,0.5323313544255684,0.0,0.6544197506098008,0.0,-0.1220883961842324,chromosome-specific,0.5323313544255684,0.0,0.0,True,False,False
S100A13,chr1,0.55464286,0.8637864,0.5312470980539261,0.0,0.6018105755950706,0.0,-0.07056347754114445,chromosome-specific,0.5312470980539261,0.0,0.0,True,False,False
SERINC2,chr1,0.20540082,0.48613104,0.5296597655715327,0.0,0.6208456729844476,0.0,-0.09118590741291488,chromosome-specific,0.5296597655715327,0.0,0.0,True,False,False
CTTN,chr11,0.2067512,0.5291701,0.5289129055031105,0.0,0.7377867172447938,0.0,-0.2088738117416833,chromosome-specific,0.5289129055031105,0.0,0.0,True,False,False
TSPAN13,chr7,0.24995574,0.57921886,0.5235780460753701,0.0,0.6515383950046848,0.0,-0.12796034892931474,chromosome-specific,0.5235780460753701,0.0,0.0,True,False,False
S100A2,chr1,0.18724513,0.53761935,0.520785905240253,0.0,0.6967060637281608,0.0,-0.17592015848790776,chromosome-specific,0.520785905240253,0.0,0.0,True,False,False
STEAP4,chr7,0.1272347,0.3907396,0.5183582155033029,0.0,0.5878976375939421,0.0,-0.06953942209063924,chromosome-specific,0.5183582155033029,0.0,0.0,True,False,False
TMEM54,chr1,0.14578305,0.4046616,0.5155260601665298,0.0,0.7159533849056945,0.0,-0.2004273247391647,chromosome-specific,0.5155260601665298,0.0,0.0,True,False,False
CRABP2,chr1,0.1790674,0.54594827,0.5132980341591231,0.0,0.6953420846442103,0.0,-0.1820440504850872,chromosome-specific,0.5132980341591231,0.0,0.0,True,False,False
PLS3,chrX,0.12055467,0.3693151,0.5105963021324519,0.0,0.5105963021324519,0.0,0.0,global,0.5105963021324519,0.0,0.0,True,False,False
MARCKSL1,chr1,0.3890995,0.79604757,0.5103401008745627,0.0,0.7091625555149952,0.0,-0.19882245464043247,chromosome-specific,0.5103401008745627,0.0,0.0,True,False,False
HLA-A,chr6,3.2143688,0.9560012,0.5056052930551432,0.0,-0.44355121353477933,0.0,0.9491565065899226,chromosome-specific,0.5056052930551432,0.0,0.0,True,False,True
PHLDA2,chr11,0.34940812,0.7620897,0.5027989778439226,0.0,0.7413897032585806,0.0,-0.23859072541465798,chromosome-specific,0.5027989778439226,0.0,0.0,True,False,False
HLA-C,chr6,3.035169,1.0053219,0.49489428366643085,0.0,-0.48373301243623434,0.0,0.9786272961026652,chromosome-specific,0.49489428366643085,0.0,0.0,True,False,True
MEX3A,chr1,0.07709649,0.28553897,0.49409719802206514,0.0,0.7144116683842117,0.0,-0.22031447036214652,chromosome-specific,0.49409719802206514,0.0,0.0,True,False,False
PCSK1N,chrX,0.06678892,0.28581768,0.49247946078356275,0.0,0.49247946078356275,0.0,0.0,global,0.49247946078356275,0.0,0.0,True,False,False
JUP,chr17,0.13956326,0.40376425,0.4919082677688778,0.0,0.7489499456835715,0.0,-0.25704167791469373,chromosome-specific,0.4919082677688778,0.0,0.0,True,False,False
TMEM98,chr17,0.12514627,0.38723707,0.4900136967781491,0.0,0.5771442631448204,0.0,-0.08713056636667127,chromosome-specific,0.4900136967781491,0.0,0.0,True,False,False
ST14,chr11,0.1733707,0.43764913,0.48267128474643417,0.0,0.6357677614596029,0.0,-0.15309647671316873,chromosome-specific,0.48267128474643417,0.0,0.0,True,False,False
HDGF,chr1,0.24800515,0.5366564,0.4808875862881182,0.0,0.5754809685516549,0.0,-0.0945933822635367,chromosome-specific,0.4808875862881182,0.0,0.0,True,False,False
AGRN,chr1,0.14289072,0.3985891,0.48026208492592365,0.0,0.6177534102313677,0.0,-0.137491325305444,chromosome-specific,0.48026208492592365,0.0,0.0,True,False,False
ARPC1A,chr7,0.32294604,0.5978052,0.4736274052893433,0.0,0.5531102791854479,0.0,-0.07948287389610459,chromosome-specific,0.4736274052893433,0.0,0.0,True,False,False
BAIAP2L1,chr7,0.06319987,0.2354343,0.47166094191599284,0.0,0.5799005151024407,0.0,-0.10823957318644783,chromosome-specific,0.47166094191599284,0.0,0.0,True,False,False
PKP3,chr11,0.102796726,0.3305153,0.4709914230975697,0.0,0.6441700862694362,0.0,-0.17317866317186648,chromosome-specific,0.4709914230975697,0.0,0.0,True,False,False
PRR15L,chr17,0.10313558,0.32957903,0.4697802122286962,0.0,0.6039671231187729,0.0,-0.13418691089007667,chromosome-specific,0.4697802122286962,0.0,0.0,True,False,False
GPRC5C,chr17,0.10597618,0.3341193,0.469183333506087,0.0,0.6092478328926381,0.0,-0.14006449938655108,chromosome-specific,0.469183333506087,0.0,0.0,True,False,False
RAB13,chr1,0.3737946,0.63680166,0.46266723257435904,0.0,0.46414620012202545,0.0,-0.00147896754766641,chromosome-specific,0.46266723257435904,0.0,0.0,True,False,False
SDC4,chr20,0.24902973,0.5592713,0.4603887438044383,0.0,0.501031243955866,0.0,-0.040642500151427674,chromosome-specific,0.4603887438044383,0.0,0.0,True,False,False
FAM3C,chr7,0.32667798,0.6379357,0.46006478256637084,0.0,0.5608728387954827,0.0,-0.10080805622911182,chromosome-specific,0.46006478256637084,0.0,0.0,True,False,False
AHR,chr7,0.2874262,0.595169,0.45828957817890004,0.0,0.5748466638836214,0.0,-0.11655708570472134,chromosome-specific,0.45828957817890004,0.0,0.0,True,False,False
HMGB3,chrX,0.10892825,0.33721107,0.4555001999144362,0.0,0.4555001999144362,0.0,0.0,global,0.4555001999144362,0.0,0.0,True,False,False
LAMTOR2,chr1,0.6931466,0.8494235,0.45332975112714313,0.0,0.45988157608242985,0.0,-0.0065518249552867225,chromosome-specific,0.45332975112714313,0.0,0.0,True,False,False
MUC1,chr1,0.47286442,0.9267927,0.45288113616269304,0.0,0.6257645968427779,0.0,-0.1728834606800848,chromosome-specific,0.45288113616269304,0.0,0.0,True,False,False
CHMP4B,chr20,0.43966466,0.70165884,0.45167936395154484,0.0,0.556985659884708,0.0,-0.10530629593316321,chromosome-specific,0.45167936395154484,0.0,0.0,True,False,False
S100A11,chr1,2.1797569,1.3985164,0.45079449455727527,0.0,0.2750268007171873,8.419706973651208e-141,0.17576769384008795,chromosome-specific,0.45079449455727527,0.0,0.0,True,False,True
TRIP6,chr7,0.18071193,0.42053244,0.44713796255071914,0.0,0.5066261777720074,0.0,-0.05948821522128822,chromosome-specific,0.44713796255071914,0.0,0.0,True,False,False
ITGA3,chr17,0.115702935,0.3710912,0.4461617741346666,0.0,0.5930997722250759,0.0,-0.1469379980904093,chromosome-specific,0.4461617741346666,0.0,0.0,True,False,False
SFN,chr1,0.17955734,0.48049197,0.4448806630042895,0.0,0.5961758625864766,0.0,-0.15129519958218707,chromosome-specific,0.4448806630042895,0.0,0.0,True,False,False
STARD10,chr11,0.17871094,0.45149148,0.4440797628378401,0.0,0.5510613240631407,0.0,-0.10698156122530056,chromosome-specific,0.4440797628378401,0.0,0.0,True,False,False
HLA-DMA,chr6,0.8122787,1.0058365,0.44264122210648793,0.0,-0.1452800130080669,1.5730674829902493e-39,0.5879212351145549,chromosome-specific,0.44264122210648793,0.0,0.0,True,False,True
SDCCAG8,chr1,0.27825117,0.5610736,0.4417067246212511,0.0,0.5774997472559357,0.0,-0.13579302263468457,chromosome-specific,0.4417067246212511,0.0,0.0,True,False,False
PTPRF,chr1,0.124745965,0.36331233,0.4407102916855506,0.0,0.6015569018510605,0.0,-0.16084661016550988,chromosome-specific,0.4407102916855506,0.0,0.0,True,False,False
MAGED1,chrX,0.1062672,0.33131883,0.4405383741010701,0.0,0.4405383741010701,0.0,0.0,global,0.4405383741010701,0.0,0.0,True,False,False
EPHB4,chr7,0.05447326,0.22294049,0.44026680955127473,0.0,0.494260125798075,0.0,-0.05399331624680026,chromosome-specific,0.44026680955127473,0.0,0.0,True,False,False
PYCR1,chr17,0.10410141,0.32537094,0.4397872369565955,0.0,0.6647553146777943,0.0,-0.22496807772119876,chromosome-specific,0.4397872369565955,0.0,0.0,True,False,False
LST1,chr6,0.47405708,0.86574143,0.4364428704849672,0.0,-0.20662781372473113,5.649474657312316e-79,0.6430706842096984,chromosome-specific,0.4364428704849672,0.0,0.0,True,False,True
HSPB1,chr7,1.0881777,1.1744369,0.43588890375969014,0.0,0.5132549631014035,0.0,-0.07736605934171337,chromosome-specific,0.43588890375969014,0.0,0.0,True,False,False
AIF1,chr6,0.6083502,1.0837387,0.43338492578400356,0.0,-0.19418308022895017,8.618688042303358e-70,0.6275680060129537,chromosome-specific,0.43338492578400356,0.0,0.0,True,False,True
LRP5,chr11,0.062495828,0.2424909,0.43326718398951314,0.0,0.5919704852914086,0.0,-0.15870330130189547,chromosome-specific,0.43326718398951314,0.0,0.0,True,False,False
CNIH4,chr1,0.48005956,0.7324755,0.43262753933719444,0.0,0.4550382439813345,0.0,-0.022410704644140078,chromosome-specific,0.43262753933719444,0.0,0.0,True,False,False
KRT19,chr17,0.51923835,1.0342486,0.43187122682968776,0.0,0.7814078683838008,0.0,-0.34953664155411307,chromosome-specific,0.43187122682968776,0.0,0.0,True,False,False
ERRFI1,chr1,0.14453414,0.41560516,0.4299877080324916,0.0,0.6471586014836823,0.0,-0.21717089345119073,chromosome-specific,0.4299877080324916,0.0,0.0,True,False,False
NENF,chr1,0.538741,0.75946414,0.42856753048529905,0.0,0.47893144957537,0.0,-0.05036391909007093,chromosome-specific,0.42856753048529905,0.0,0.0,True,False,False
S100A14,chr1,0.29080385,0.6938847,0.42676344153865176,0.0,0.5659284524332564,0.0,-0.13916501089460465,chromosome-specific,0.42676344153865176,0.0,0.0,True,False,False
EI24,chr11,0.32271588,0.60529304,0.42551199796759265,0.0,0.5486979224804948,0.0,-0.12318592451290211,chromosome-specific,0.42551199796759265,0.0,0.0,True,False,False
QSOX1,chr1,0.25856328,0.52888644,0.42367125218100377,0.0,0.4445886523943867,0.0,-0.020917400213382953,chromosome-specific,0.42367125218100377,0.0,0.0,True,False,False
ETV4,chr17,0.061459705,0.2365816,0.42259072259845676,0.0,0.6190682909656156,0.0,-0.1964775683671588,chromosome-specific,0.42259072259845676,0.0,0.0,True,False,False
TRAF4,chr17,0.21018426,0.5171329,0.42188013711512584,0.0,0.6729893871529038,0.0,-0.25110925003777795,chromosome-specific,0.42188013711512584,0.0,0.0,True,False,False
GSTP1,chr11,1.6661776,1.2629836,0.42140228469344576,0.0,0.514508905374008,0.0,-0.09310662068056219,chromosome-specific,0.42140228469344576,0.0,0.0,True,False,False
VKORC1L1,chr7,0.13427432,0.35694054,0.4200805092445463,0.0,0.4964653240151281,0.0,-0.07638481477058179,chromosome-specific,0.4200805092445463,0.0,0.0,True,False,False
ADAM15,chr1,0.12627977,0.35638392,0.4188082123437661,0.0,0.4646389624435355,0.0,-0.04583075009976939,chromosome-specific,0.4188082123437661,0.0,0.0,True,False,False
MAL2,chr8,0.36619663,0.81207865,0.41810901350772395,0.0,0.8229874777912144,0.0,-0.40487846428349045,chromosome-specific,0.41810901350772395,0.0,0.0,True,False,False
PTGS2,chr1,0.27431786,0.6995904,0.41659089065546584,0.0,0.5968502646633759,0.0,-0.18025937400791003,chromosome-specific,0.41659089065546584,0.0,0.0,True,False,False
IRAK1,chrX,0.20125209,0.46834838,0.41508405386509506,0.0,0.41508405386509506,0.0,0.0,global,0.41508405386509506,0.0,0.0,True,False,False
S100A10,chr1,1.9884787,1.2829089,0.41095580184693037,0.0,0.22837444824281575,1.6263834044014028e-96,0.18258135360411462,chromosome-specific,0.41095580184693037,0.0,0.0,True,False,True
ABHD11,chr7,0.103912465,0.32602668,0.4107368882913966,0.0,0.459380121263672,0.0,-0.04864323297227541,chromosome-specific,0.4107368882913966,0.0,0.0,True,False,False
ERBB2,chr17,0.11637264,0.35899907,0.409301089518055,0.0,0.5726316561468507,0.0,-0.16333056662879575,chromosome-specific,0.409301089518055,0.0,0.0,True,False,False
