names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
SFTPC,48.05868,3.0187128,0.0,0.0,0.8744504152418173,Cancer,Cancer_vs_Normal,True
IGKC,47.796177,5.54104,0.0,0.0,0.6428920371275036,Cancer,Cancer_vs_Normal,True
CAPG,22.206053,1.8339641,3.001846277279545e-109,8.132859235515225e-106,0.47923790913532,Cancer,Cancer_vs_Normal,True
GPX1,21.800936,1.2669631,2.273254007851198e-105,4.7902513620997744e-102,0.6770884220810943,Cancer,Cancer_vs_Normal,True
SFTPB,21.698893,2.7802331,2.101641296457481e-104,3.623420653392375e-101,0.3795798729848559,Cancer,Cancer_vs_Normal,True
IGHG4,20.916813,4.870512,3.764439724992142e-97,4.4620374615297484e-94,0.2826086956521739,Cancer,Cancer_vs_Normal,True
IGHA1,20.575047,3.1835434,4.5928635500191197e-94,5.123744542712506e-91,0.3082559843673669,Cancer,Cancer_vs_Normal,True
CD63,19.791256,1.006461,3.5410649815547756e-87,3.5345419671150693e-84,0.7093307278944797,Cancer,Cancer_vs_Normal,True
RGS1,18.546583,1.4866698,8.69033827267588e-77,7.165750667012958e-74,0.5107474352711285,Cancer,Cancer_vs_Normal,True
NPC2,17.439238,1.0368723,4.155868980146534e-68,2.919113155869593e-65,0.6411822178798241,Cancer,Cancer_vs_Normal,True
RNASE1,17.19875,2.2264643,2.713234141032443e-66,1.715216182822676e-63,0.3321934538348803,Cancer,Cancer_vs_Normal,True
S100A11,16.889305,0.85920703,5.393434465795365e-64,3.299564020768035e-61,0.7757694186614558,Cancer,Cancer_vs_Normal,True
LDHB,16.837013,0.96764123,1.3066945253647221e-63,7.744206772981861e-61,0.5991695163654128,Cancer,Cancer_vs_Normal,True
NAPSA,16.819016,3.301146,1.770763451685841e-63,1.0176523897339992e-60,0.2508549096238398,Cancer,Cancer_vs_Normal,True
SERPINA1,16.787748,1.5192555,3.00010430214743e-63,1.6734405320654707e-60,0.4323400097703957,Cancer,Cancer_vs_Normal,True
NPM1,16.727432,0.64264673,8.272832189893513e-63,4.482693213752299e-60,0.8517342452369321,Cancer,Cancer_vs_Normal,True
VAMP8,16.648775,0.90122545,3.0886317123302476e-62,1.627108345120643e-59,0.6243282852955545,Cancer,Cancer_vs_Normal,True
S100A10,16.612719,0.760698,5.637991963979343e-62,2.889851826942385e-59,0.785295554469956,Cancer,Cancer_vs_Normal,True
SLPI,16.442043,1.7117982,9.563857988031855e-61,4.773120177448003e-58,0.38764044943820225,Cancer,Cancer_vs_Normal,True
HSPB1,16.366842,1.0644499,3.2988866457864017e-60,1.604189365059977e-57,0.5522716170004885,Cancer,Cancer_vs_Normal,True
MYL12B,16.271885,0.70489633,1.5627180259532648e-59,7.409236840550916e-57,0.7579384465070835,Cancer,Cancer_vs_Normal,True
CTSH,16.209011,1.4300916,4.355205954769232e-59,1.9665828793380588e-56,0.40620420127015144,Cancer,Cancer_vs_Normal,True
PEBP1,16.091608,0.9206326,2.921534395897747e-58,1.2592477231409265e-55,0.5933072789447973,Cancer,Cancer_vs_Normal,True
PRDX1,16.03541,0.94763964,7.230526658780183e-58,3.0472652907503593e-55,0.5913531998045921,Cancer,Cancer_vs_Normal,True
IFI6,15.945247,1.1452144,3.074252243126319e-57,1.2674607345845791e-54,0.5078163165608207,Cancer,Cancer_vs_Normal,True
RPS27L,15.784614,0.92956173,3.9707292379689366e-56,1.60223148932087e-53,0.5806057645334636,Cancer,Cancer_vs_Normal,True
TPSB2,15.7584915,3.5410457,6.004924039544529e-56,2.3725705085408746e-53,0.2308255984367367,Cancer,Cancer_vs_Normal,True
LYZ,15.641161,1.1368109,3.817067686037497e-55,1.4478137733140226e-52,0.5508060576453346,Cancer,Cancer_vs_Normal,True
CD24,15.526781,3.6729043,2.2856721225531757e-54,8.499563098866858e-52,0.22887151929653152,Cancer,Cancer_vs_Normal,True
MUC1,15.44414,2.9909923,8.262132103638793e-54,2.956440289537919e-51,0.2484123106985833,Cancer,Cancer_vs_Normal,True
GPX4,15.334935,0.70833683,4.4671695292474015e-53,1.5403612749486722e-50,0.701514411333659,Cancer,Cancer_vs_Normal,True
HLA-DRA,15.271707,1.0095475,1.1804326234097268e-52,3.9976615541009766e-50,0.7801660967269174,Cancer,Cancer_vs_Normal,True
C4BPA,14.999933,4.637583,7.349350959269278e-51,2.40311105073348e-48,0.20859794821690278,Cancer,Cancer_vs_Normal,True
BIRC3,14.955537,1.2094884,1.4332096003649714e-50,4.530136678486947e-48,0.4638495359062042,Cancer,Cancer_vs_Normal,True
UBB,14.825573,0.5892665,1.0012191772993909e-49,3.0139875710290396e-47,0.9064484611626771,Cancer,Cancer_vs_Normal,True
GGTLC1,14.754267,5.164337,2.888117147172095e-49,8.426637184018274e-47,0.19931607230092818,Cancer,Cancer_vs_Normal,True
CD74,14.718512,0.77493805,4.903305862634504e-49,1.4089575103767177e-46,0.8742061553492917,Cancer,Cancer_vs_Normal,True
NFKBIA,14.4641905,0.75403893,2.0399023904139366e-47,5.575713080279957e-45,0.7530532486565706,Cancer,Cancer_vs_Normal,True
TKT,14.463583,1.0658141,2.058001136934337e-47,5.575713080279957e-45,0.45847581827063993,Cancer,Cancer_vs_Normal,True
ALOX5AP,14.425683,0.9629563,3.5671911810683015e-47,9.52841982379723e-45,0.5473864191499755,Cancer,Cancer_vs_Normal,True
PRDX6,14.15693,0.90692616,1.6922789652333147e-45,4.279209410086642e-43,0.5092818759159746,Cancer,Cancer_vs_Normal,True
DBI,14.021685,0.76180595,1.1485519025054989e-44,2.8660903725022083e-42,0.6292134831460674,Cancer,Cancer_vs_Normal,True
CXCL17,13.965288,2.597828,2.538777354670593e-44,6.17280929888818e-42,0.23571079628724964,Cancer,Cancer_vs_Normal,True
FOLR1,13.746668,2.0396705,5.332962097736447e-43,1.2486373602910088e-40,0.25744992672203226,Cancer,Cancer_vs_Normal,True
WFDC2,13.647615,2.3371773,2.0859190691802447e-42,4.824323798415042e-40,0.24816805080605764,Cancer,Cancer_vs_Normal,True
SLC34A2,13.588647,2.873068,4.6764835492873766e-42,1.0685483194245193e-39,0.22276502198339032,Cancer,Cancer_vs_Normal,True
MRPL14,13.522291,1.1740661,1.1552158510684965e-41,2.6081748351802423e-39,0.38251099169516367,Cancer,Cancer_vs_Normal,True
FBP1,13.507834,1.414656,1.4059708394207028e-41,3.136969055248662e-39,0.3353688324377137,Cancer,Cancer_vs_Normal,True
CST3,13.339971,0.89677507,1.3551279520062295e-40,2.9204547283861524e-38,0.6450903761602345,Cancer,Cancer_vs_Normal,True
